Listado de clientes 

DNI,Nombre,Direccion,Barrio,Actividad,Saldo
3333,Alan Aguerre,Av VelezSarfield,Nueva Córdoba,Crossfit,-100
1212,Rodrigo Garro,Av Poeta Lugones,San Fernando,Crossfit,300
1515,Lautaro Blanco,La Cañada,Nueva Córdoba,Crossfit,750
2121,Facundo Campazzo,Obispo Trejo,Villa Allende,Crossfit,500
Listado de clientes 

DNI,Nombre,Direccion,Barrio,Actividad,Saldo
1111,Eugenio Bonifacio,Pueyrredón y Obispo Trejo,Nueva Córdoba,Musculación,100
7777,Matías Catalan,Buenos Aires,Nueva Córdoba,Musculación,-300
1313,Carlos Tévez,Crisol,Maipú,Musculación,450
1818,Facundo Almada,Obispo Salguero,General Paz,Musculación,-300
2626,Agustin Rossi,Av Malvinas,Villa Allende,Musculación,300
4419,Agustin Romanisio,Davinci,Maipú,Musculación,150
